,school_name,school_id,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300
266,SUYE,PS0102030,142,180.3521,C,Arusha,Arusha CC,72,70,1.0285714285714285,0.9859154929577465,33.131641799878935
267,SWIFTS,PS0102035,11,223.3636,B,Arusha,Arusha CC,5,6,0.8333333333333334,1.0,36.88733684931335
268,TANGANYIKA,PS0102150,25,260.28,A,Arusha,Arusha CC,17,8,2.125,1.0,19.416451787079946
269,TEREZA NUZZO,PS0102138,33,267.4848,A,Arusha,Arusha CC,12,21,0.5714285714285714,1.0,17.17691729046006
270,TERRAT,PS0102094,240,172.9333,C,Arusha,Arusha CC,129,111,1.162162162162162,0.9583333333333334,34.26404055020933
271,THEMI,PS0102020,188,188.4628,B,Arusha,Arusha CC,99,89,1.1123595505617978,0.973404255319149,34.90314607314024
272,TUISHIME,PS0102071,33,253.3939,A,Arusha,Arusha CC,20,13,1.5384615384615385,1.0,27.459200471641225
273,UHURU PEAK,PS0102095,75,228.8933,B,Arusha,Arusha CC,41,34,1.2058823529411764,1.0,33.67379726467186
274,UHURU,PS0102021,197,187.0254,B,Arusha,Arusha CC,94,103,0.912621359223301,0.9644670050761421,37.51722168904864
275,UKOMBOZI,PS0102054,430,174.607,C,Arusha,Arusha CC,205,225,0.9111111111111111,0.9372093023255814,36.462783211916516
276,UNGA-LIMITED,PS0102023,295,178.8203,C,Arusha,Arusha CC,151,144,1.0486111111111112,0.9627118644067797,38.143461674133185
277,UNITY,PS0102055,2,212.0,B,Arusha,Arusha CC,0,2,0.0,1.0,59.875
278,UPENDO FRIENDS,PS0102112,39,261.5897,A,Arusha,Arusha CC,24,15,1.6,1.0,21.55787243457307
279,WEMA,PS0102096,79,188.2911,B,Arusha,Arusha CC,43,36,1.1944444444444444,1.0,33.52604888999016
280,ZASHAZ,PS0102159,16,280.75,A,Arusha,Arusha CC,10,6,1.6666666666666667,1.0,0.0
281,AFRICAN GALLERIA,PS0103114,34,178.2941,C,Arusha,Karatu,16,18,0.8888888888888888,1.0,28.67307672224456
282,AKKO,PS0103074,33,160.5758,C,Arusha,Karatu,16,17,0.9411764705882353,0.9090909090909091,34.49757447456414
283,ANTSA,PS0103086,99,152.8182,C,Arusha,Karatu,48,51,0.9411764705882353,0.8282828282828283,36.16105185497285
284,ASKOFU HHANDO,PS0103099,32,149.4063,C,Arusha,Karatu,17,15,1.1333333333333333,0.875,33.33072906493346
285,ASLIN,PS0103100,38,108.8947,D,Arusha,Karatu,15,23,0.6521739130434783,0.3157894736842105,31.618396412369666
286,ASLINI GONGALI,PS0103108,27,145.2963,C,Arusha,Karatu,9,18,0.5,0.8148148148148148,26.8512132746546
287,AYALABE,PS0103001,57,140.4035,C,Arusha,Karatu,20,37,0.5405405405405406,0.7192982456140351,38.01151596898481
