,school_name,school_id,num_students,average_300,grade,WASICHANA,WAVULANA,JUMLA,region_name,council_name
0,ALBEHIJE,PS0101114,21.0,255.0476,A,"[9, 1, 0, 0, 0]","[10, 1, 0, 0, 0]","[19, 2, 0, 0, 0]",Arusha,Arusha
1,ARUSHA VICTORY,PS0101128,13.0,282.0,A,"[6, 0, 0, 0, 0]","[7, 0, 0, 0, 0]","[13, 0, 0, 0, 0]",Arusha,Arusha
2,ASSALAF ISLAMIC,PS0101116,40.0,224.4,B,"[6, 14, 2, 0, 0]","[5, 13, 0, 0, 0]","[11, 27, 2, 0, 0]",Arusha,Arusha
3,BANGATA,PS0101001,59.0,212.7119,B,"[1, 21, 0, 0, 0]","[3, 34, 0, 0, 0]","[4, 55, 0, 0, 0]",Arusha,Arusha
4,BLUE BELL,PS0101154,14.0,254.0714,A,"[3, 3, 0, 0, 0]","[7, 1, 0, 0, 0]","[10, 4, 0, 0, 0]",Arusha,Arusha
5,BWAWANI,PS0101003,53.0,164.8868,C,"[0, 6, 24, 0, 0]","[0, 9, 13, 1, 0]","[0, 15, 37, 1, 0]",Arusha,Arusha
6,DEANERY,PS0101143,26.0,238.9615,B,"[5, 7, 0, 0, 0]","[6, 8, 0, 0, 0]","[11, 15, 0, 0, 0]",Arusha,Arusha
7,DINKA,PS0101135,13.0,231.2308,B,"[2, 2, 0, 0, 0]","[4, 4, 1, 0, 0]","[6, 6, 1, 0, 0]",Arusha,Arusha
8,EBENEZER,PS0101123,8.0,197.125,B,"[0, 4, 0, 0, 0]","[0, 2, 2, 0, 0]","[0, 6, 2, 0, 0]",Arusha,Arusha
9,EKENYWA,PS0101005,131.0,148.9847,C,"[0, 9, 47, 8, 0]","[0, 12, 43, 12, 0]","[0, 21, 90, 20, 0]",Arusha,Arusha
10,EMAOI,PS0101006,105.0,163.6095,C,"[0, 13, 36, 3, 0]","[0, 12, 39, 2, 0]","[0, 25, 75, 5, 0]",Arusha,Arusha
11,ENDONYOESOIYE,PS0101007,78.0,147.8846,C,"[0, 4, 23, 8, 0]","[0, 4, 31, 8, 0]","[0, 8, 54, 16, 0]",Arusha,Arusha
12,ENGALAONI,PS0101008,72.0,161.8056,C,"[1, 20, 12, 13, 1]","[0, 9, 14, 2, 0]","[1, 29, 26, 15, 1]",Arusha,Arusha
13,ENGIKARET,PS0101130,54.0,160.0185,C,"[0, 6, 15, 1, 0]","[0, 8, 24, 0, 0]","[0, 14, 39, 1, 0]",Arusha,Arusha
14,ENGILANG'ET,PS0101131,20.0,206.0,B,"[0, 8, 2, 0, 0]","[0, 10, 0, 0, 0]","[0, 18, 2, 0, 0]",Arusha,Arusha
15,ENGORIKA,PS0101009,84.0,124.9048,C,"[0, 0, 31, 19, 1]","[0, 2, 19, 11, 1]","[0, 2, 50, 30, 2]",Arusha,Arusha
16,ENGUTUKOITI,PS0101010,28.0,106.6429,D,"[0, 0, 2, 16, 0]","[0, 0, 4, 6, 0]","[0, 0, 6, 22, 0]",Arusha,Arusha
17,ENJORO,PS0101117,75.0,129.4667,C,"[0, 2, 19, 17, 0]","[0, 3, 24, 10, 0]","[0, 5, 43, 27, 0]",Arusha,Arusha
18,ENYUATA,PS0101011,114.0,187.4386,B,"[5, 28, 25, 1, 0]","[0, 30, 25, 0, 0]","[5, 58, 50, 1, 0]",Arusha,Arusha
19,EUNOTO,PS0101124,98.0,128.9592,C,"[0, 2, 26, 25, 0]","[0, 4, 21, 20, 0]","[0, 6, 47, 45, 0]",Arusha,Arusha
20,GOODWILL,PS0101121,27.0,236.5926,B,"[6, 7, 0, 0, 0]","[6, 8, 0, 0, 0]","[12, 15, 0, 0, 0]",Arusha,Arusha
21,GRACIOUS,PS0101129,37.0,271.027,A,"[14, 1, 0, 0, 0]","[21, 1, 0, 0, 0]","[35, 2, 0, 0, 0]",Arusha,Arusha
22,GREEN ACRES,PS0101012,107.0,257.5234,A,"[39, 16, 0, 0, 0]","[46, 6, 0, 0, 0]","[85, 22, 0, 0, 0]",Arusha,Arusha
23,GREEN PASTURES,PS0101158,19.0,234.7895,B,"[4, 7, 0, 0, 0]","[2, 6, 0, 0, 0]","[6, 13, 0, 0, 0]",Arusha,Arusha
24,HEDA,PS0101152,16.0,235.125,B,"[0, 5, 0, 0, 0]","[7, 4, 0, 0, 0]","[7, 9, 0, 0, 0]",Arusha,Arusha
25,IKIRWA,PS0101136,12.0,226.9167,B,"[0, 4, 0, 0, 0]","[2, 6, 0, 0, 0]","[2, 10, 0, 0, 0]",Arusha,Arusha
26,ILBORU LUTHERAN,PS0101141,30.0,232.7333,B,"[8, 7, 1, 0, 0]","[4, 10, 0, 0, 0]","[12, 17, 1, 0, 0]",Arusha,Arusha
27,ILBORU,PS0101013,195.0,171.2205,C,"[0, 35, 56, 4, 0]","[0, 40, 53, 7, 0]","[0, 75, 109, 11, 0]",Arusha,Arusha
28,ILKERINI,PS0101014,61.0,135.2459,C,"[0, 3, 16, 13, 0]","[0, 3, 14, 12, 0]","[0, 6, 30, 25, 0]",Arusha,Arusha
29,ILKIDING'A,PS0101015,152.0,131.7895,C,"[0, 5, 52, 32, 1]","[0, 1, 37, 24, 0]","[0, 6, 89, 56, 1]",Arusha,Arusha
30,ILKISONGO,PS0101016,100.0,145.95,C,"[0, 4, 36, 16, 0]","[0, 7, 33, 4, 0]","[0, 11, 69, 20, 0]",Arusha,Arusha
31,ILKIUREI,PS0101017,78.0,173.3718,C,"[0, 8, 28, 0, 0]","[1, 21, 20, 0, 0]","[1, 29, 48, 0, 0]",Arusha,Arusha
32,ILKONERE,PS0101125,96.0,126.625,C,"[0, 4, 29, 15, 0]","[0, 2, 17, 29, 0]","[0, 6, 46, 44, 0]",Arusha,Arusha
33,ILKUROTI,PS0101018,69.0,180.1739,C,"[0, 28, 10, 4, 0]","[0, 14, 12, 1, 0]","[0, 42, 22, 5, 0]",Arusha,Arusha
34,IMBIBIA,PS0101019,103.0,144.0097,C,"[0, 17, 25, 20, 1]","[0, 6, 26, 8, 0]","[0, 23, 51, 28, 1]",Arusha,Arusha
35,ISLONG,PS0101137,70.0,280.7286,A,"[32, 0, 0, 0, 0]","[37, 1, 0, 0, 0]","[69, 1, 0, 0, 0]",Arusha,Arusha
36,JK NYERERE,PS0101020,124.0,164.4597,C,"[0, 20, 34, 6, 0]","[0, 19, 39, 6, 0]","[0, 39, 73, 12, 0]",Arusha,Arusha
37,JOBREAS,PS0101156,12.0,215.0,B,"[0, 5, 0, 0, 0]","[2, 5, 0, 0, 0]","[2, 10, 0, 0, 0]",Arusha,Arusha
38,JOSEPH,PS0101167,8.0,205.875,B,"[1, 2, 1, 0, 0]","[0, 4, 0, 0, 0]","[1, 6, 1, 0, 0]",Arusha,Arusha
39,JOSHUA VISION,PS0101144,60.0,119.5,D,"[0, 0, 3, 21, 0]","[0, 2, 15, 19, 0]","[0, 2, 18, 40, 0]",Arusha,Arusha
40,KAMBI YA MAZIWA,PS0101022,128.0,172.8906,C,"[2, 21, 41, 1, 0]","[1, 17, 44, 1, 0]","[3, 38, 85, 2, 0]",Arusha,Arusha
41,KIGONGONI,PS0101023,30.0,146.4,C,"[0, 0, 16, 1, 0]","[0, 0, 12, 1, 0]","[0, 0, 28, 2, 0]",Arusha,Arusha
42,KILIMANJARO,PS0101024,,,,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",Arusha,Arusha
43,KIMNYAKI,PS0101025,99.0,157.7071,C,"[0, 13, 36, 5, 0]","[0, 7, 33, 5, 0]","[0, 20, 69, 10, 0]",Arusha,Arusha
44,KINGDOM,PS0101140,17.0,232.7647,B,"[8, 6, 0, 0, 0]","[0, 2, 1, 0, 0]","[8, 8, 1, 0, 0]",Arusha,Arusha
45,KIOGA,PS0101026,179.0,139.9721,C,"[0, 8, 68, 28, 0]","[0, 4, 48, 23, 0]","[0, 12, 116, 51, 0]",Arusha,Arusha
46,KIRANYI,PS0101027,83.0,173.8072,C,"[1, 11, 19, 1, 0]","[1, 22, 27, 1, 0]","[2, 33, 46, 2, 0]",Arusha,Arusha
47,KISERIAN,PS0101028,70.0,178.5143,C,"[0, 13, 22, 0, 0]","[0, 17, 17, 1, 0]","[0, 30, 39, 1, 0]",Arusha,Arusha
48,KISONGO,PS0101029,87.0,161.4713,C,"[0, 12, 33, 4, 0]","[0, 8, 27, 3, 0]","[0, 20, 60, 7, 0]",Arusha,Arusha
49,LAMOLOKI,PS0101030,68.0,170.8088,C,"[0, 9, 31, 2, 0]","[0, 15, 11, 0, 0]","[0, 24, 42, 2, 0]",Arusha,Arusha
50,LAROI,PS0101031,58.0,139.3793,C,"[0, 3, 23, 4, 2]","[0, 2, 19, 5, 0]","[0, 5, 42, 9, 2]",Arusha,Arusha
51,LASTING BLESS,PS0101110,14.0,221.0714,B,"[1, 5, 1, 0, 0]","[0, 7, 0, 0, 0]","[1, 12, 1, 0, 0]",Arusha,Arusha
52,LEMANYATA,PS0101032,104.0,145.7788,C,"[0, 6, 40, 8, 0]","[0, 3, 40, 7, 0]","[0, 9, 80, 15, 0]",Arusha,Arusha
53,LEMINYOR,PS0101033,71.0,154.8169,C,"[0, 5, 28, 8, 0]","[0, 9, 18, 3, 0]","[0, 14, 46, 11, 0]",Arusha,Arusha
54,LEMUGUR,PS0101034,85.0,137.2706,C,"[0, 1, 45, 16, 0]","[0, 3, 18, 2, 0]","[0, 4, 63, 18, 0]",Arusha,Arusha
55,LENGIJAVE,PS0101035,43.0,157.1163,C,"[0, 5, 26, 3, 0]","[0, 5, 4, 0, 0]","[0, 10, 30, 3, 0]",Arusha,Arusha
56,LESIRAA,PS0101036,50.0,152.62,C,"[0, 7, 22, 1, 0]","[0, 1, 12, 7, 0]","[0, 8, 34, 8, 0]",Arusha,Arusha
57,LIKAMBA INTEGRITY,PS0101118,33.0,202.5758,B,"[3, 9, 6, 0, 0]","[2, 9, 4, 0, 0]","[5, 18, 10, 0, 0]",Arusha,Arusha
58,LIKAMBA,PS0101037,89.0,141.1573,C,"[1, 1, 41, 8, 0]","[0, 0, 27, 11, 0]","[1, 1, 68, 19, 0]",Arusha,Arusha
59,LOOVILUKUNY,PS0101038,75.0,170.3867,C,"[1, 9, 23, 3, 0]","[1, 15, 22, 1, 0]","[2, 24, 45, 4, 0]",Arusha,Arusha
60,LORUVANI,PS0101039,57.0,173.0702,C,"[0, 10, 24, 0, 0]","[0, 11, 12, 0, 0]","[0, 21, 36, 0, 0]",Arusha,Arusha
61,LOSIKITO,PS0101040,121.0,152.3223,C,"[0, 10, 48, 11, 1]","[1, 16, 28, 6, 0]","[1, 26, 76, 17, 1]",Arusha,Arusha
62,LOSINONI,PS0101041,79.0,127.1139,C,"[0, 1, 22, 18, 0]","[0, 1, 22, 15, 0]","[0, 2, 44, 33, 0]",Arusha,Arusha
63,MAADILI,PS0101159,4.0,243.25,A,"[2, 1, 0, 0, 0]","[1, 0, 0, 0, 0]","[3, 1, 0, 0, 0]",Arusha,Arusha
64,MAASAI JOY,PS0101126,20.0,270.05,A,"[7, 0, 0, 0, 0]","[13, 0, 0, 0, 0]","[20, 0, 0, 0, 0]",Arusha,Arusha
65,MAJIMOTO,PS0101043,41.0,135.0244,C,"[0, 1, 9, 7, 0]","[0, 1, 16, 7, 0]","[0, 2, 25, 14, 0]",Arusha,Arusha
66,MANYIRE,PS0101044,66.0,151.0606,C,"[0, 7, 26, 9, 0]","[0, 4, 17, 3, 0]","[0, 11, 43, 12, 0]",Arusha,Arusha
67,MARGRETH ENGLANDS BURKS,PS0101106,18.0,220.8889,B,"[1, 8, 0, 0, 0]","[2, 7, 0, 0, 0]","[3, 15, 0, 0, 0]",Arusha,Arusha
68,MARURANI,PS0101045,40.0,164.875,C,"[0, 3, 15, 0, 1]","[0, 4, 16, 1, 0]","[0, 7, 31, 1, 1]",Arusha,Arusha
69,MATIM,PS0101047,142.0,173.8592,C,"[1, 32, 45, 2, 0]","[1, 27, 31, 3, 0]","[2, 59, 76, 5, 0]",Arusha,Arusha
70,MBUYUNI,PS0101048,90.0,121.1889,C,"[0, 1, 37, 27, 0]","[0, 0, 12, 13, 0]","[0, 1, 49, 40, 0]",Arusha,Arusha
71,MIALE,PS0101150,33.0,202.4242,B,"[1, 11, 3, 0, 0]","[0, 16, 2, 0, 0]","[1, 27, 5, 0, 0]",Arusha,Arusha
72,MIDAWE,PS0101049,68.0,139.7059,C,"[0, 4, 25, 8, 0]","[0, 5, 15, 11, 0]","[0, 9, 40, 19, 0]",Arusha,Arusha
73,MIRONGOINE,PS0101050,99.0,146.9596,C,"[0, 6, 32, 11, 0]","[0, 8, 33, 9, 0]","[0, 14, 65, 20, 0]",Arusha,Arusha
74,MLANGARINI,PS0101051,89.0,147.3596,C,"[0, 6, 27, 7, 0]","[0, 4, 35, 10, 0]","[0, 10, 62, 17, 0]",Arusha,Arusha
75,MOIVO,PS0101052,79.0,186.1646,B,"[2, 24, 17, 1, 0]","[1, 18, 14, 2, 0]","[3, 42, 31, 3, 0]",Arusha,Arusha
76,MRINGA,PS0101054,212.0,170.1179,C,"[2, 36, 62, 10, 0]","[2, 39, 56, 4, 1]","[4, 75, 118, 14, 1]",Arusha,Arusha
77,MSHIKAMANO,PS0101119,49.0,147.7959,C,"[0, 1, 13, 4, 0]","[0, 6, 19, 6, 0]","[0, 7, 32, 10, 0]",Arusha,Arusha
78,MUNGUSHI,PS0101055,78.0,160.0256,C,"[0, 5, 35, 0, 0]","[0, 10, 26, 2, 0]","[0, 15, 61, 2, 0]",Arusha,Arusha
79,MUSA,PS0101057,60.0,126.3167,C,"[0, 1, 13, 18, 0]","[0, 4, 14, 10, 0]","[0, 5, 27, 28, 0]",Arusha,Arusha
80,MUUNGANO,PS0101058,58.0,150.3966,C,"[0, 4, 20, 4, 0]","[0, 3, 23, 4, 0]","[0, 7, 43, 8, 0]",Arusha,Arusha
81,MWANDETI,PS0101059,124.0,138.7258,C,"[0, 3, 50, 13, 1]","[0, 1, 42, 14, 0]","[0, 4, 92, 27, 1]",Arusha,Arusha
82,MZIMUNI,PS0101060,70.0,144.9429,C,"[0, 2, 27, 9, 0]","[0, 4, 24, 4, 0]","[0, 6, 51, 13, 0]",Arusha,Arusha
83,NAMBERE,PS0101061,74.0,152.9865,C,"[0, 8, 25, 3, 0]","[0, 5, 24, 9, 0]","[0, 13, 49, 12, 0]",Arusha,Arusha
84,NAMELOK,PS0101132,36.0,126.7778,C,"[0, 1, 12, 6, 0]","[0, 0, 6, 11, 0]","[0, 1, 18, 17, 0]",Arusha,Arusha
85,NATEMA,PS0101062,79.0,162.6456,C,"[0, 11, 32, 2, 0]","[0, 8, 23, 3, 0]","[0, 19, 55, 5, 0]",Arusha,Arusha
86,NAUREI,PS0101063,126.0,157.8571,C,"[1, 18, 32, 3, 1]","[0, 13, 47, 11, 0]","[1, 31, 79, 14, 1]",Arusha,Arusha
87,NDURUMA,PS0101064,46.0,162.4783,C,"[0, 6, 15, 0, 0]","[0, 6, 16, 3, 0]","[0, 12, 31, 3, 0]",Arusha,Arusha
88,NENGUNGU,PS0101065,16.0,157.5,C,"[0, 3, 4, 2, 0]","[0, 3, 3, 1, 0]","[0, 6, 7, 3, 0]",Arusha,Arusha
89,NEW LIFE,PS0101107,74.0,218.4189,B,"[9, 27, 6, 1, 0]","[9, 21, 1, 0, 0]","[18, 48, 7, 1, 0]",Arusha,Arusha
90,NEW VISION,PS0101115,32.0,267.6875,A,"[13, 3, 0, 0, 0]","[14, 2, 0, 0, 0]","[27, 5, 0, 0, 0]",Arusha,Arusha
91,NGARAMTONI,PS0101066,170.0,153.6235,C,"[0, 21, 62, 11, 0]","[0, 14, 49, 13, 0]","[0, 35, 111, 24, 0]",Arusha,Arusha
92,NG'IRESI,PS0101067,94.0,141.4787,C,"[0, 3, 35, 11, 0]","[0, 5, 31, 9, 0]","[0, 8, 66, 20, 0]",Arusha,Arusha
93,NGORBOB,PS0101172,63.0,164.0635,C,"[0, 5, 27, 0, 0]","[0, 7, 23, 1, 0]","[0, 12, 50, 1, 0]",Arusha,Arusha
94,NURU,PS0101068,14.0,229.6429,B,"[4, 5, 0, 0, 0]","[1, 4, 0, 0, 0]","[5, 9, 0, 0, 0]",Arusha,Arusha
95,OLBAK,PS0101071,73.0,159.0822,C,"[0, 11, 28, 5, 0]","[0, 6, 21, 2, 0]","[0, 17, 49, 7, 0]",Arusha,Arusha
96,OLCHOKI,PS0101072,154.0,153.4545,C,"[0, 14, 56, 6, 1]","[0, 20, 43, 14, 0]","[0, 34, 99, 20, 1]",Arusha,Arusha
97,OLCHOROVUS,PS0101073,97.0,96.6186,D,"[0, 1, 8, 40, 3]","[0, 1, 11, 31, 2]","[0, 2, 19, 71, 5]",Arusha,Arusha
98,OLDADAI,PS0101074,161.0,182.4161,B,"[7, 41, 39, 0, 0]","[1, 28, 43, 2, 0]","[8, 69, 82, 2, 0]",Arusha,Arusha
99,OLDENDERETI,PS0101075,37.0,150.5676,C,"[0, 6, 13, 0, 0]","[0, 1, 13, 4, 0]","[0, 7, 26, 4, 0]",Arusha,Arusha
100,OLDONYOSAMBU,PS0101076,129.0,137.4961,C,"[0, 7, 54, 24, 0]","[0, 3, 27, 14, 0]","[0, 10, 81, 38, 0]",Arusha,Arusha
101,OLDONYOSAPUK,PS0101077,65.0,125.7692,C,"[0, 2, 23, 14, 0]","[0, 0, 9, 16, 1]","[0, 2, 32, 30, 1]",Arusha,Arusha
102,OLDONYOWAS,PS0101078,84.0,151.0714,C,"[0, 4, 35, 1, 0]","[0, 8, 32, 4, 0]","[0, 12, 67, 5, 0]",Arusha,Arusha
103,OLEMEDEYE,PS0101133,60.0,121.5,C,"[0, 1, 12, 18, 0]","[0, 1, 14, 14, 0]","[0, 2, 26, 32, 0]",Arusha,Arusha
104,OLGILAI,PS0101079,112.0,154.1161,C,"[0, 14, 33, 2, 0]","[1, 10, 40, 11, 1]","[1, 24, 73, 13, 1]",Arusha,Arusha
105,OLJORO,PS0101080,62.0,144.7419,C,"[0, 1, 25, 11, 0]","[0, 5, 16, 4, 0]","[0, 6, 41, 15, 0]",Arusha,Arusha
106,OLKOKOLA,PS0101082,84.0,103.5714,D,"[0, 0, 14, 40, 1]","[0, 0, 8, 21, 0]","[0, 0, 22, 61, 1]",Arusha,Arusha
107,OLMOTONYI,PS0101083,62.0,149.1452,C,"[0, 5, 27, 5, 1]","[0, 2, 18, 4, 0]","[0, 7, 45, 9, 1]",Arusha,Arusha
108,OLMRINGIRINGA,PS0101084,132.0,158.0985,C,"[0, 15, 59, 6, 0]","[1, 13, 35, 3, 0]","[1, 28, 94, 9, 0]",Arusha,Arusha
109,OLOKII,PS0101086,19.0,171.6316,C,"[0, 4, 8, 0, 0]","[0, 3, 4, 0, 0]","[0, 7, 12, 0, 0]",Arusha,Arusha
110,OLOMITU,PS0101108,92.0,173.4348,C,"[1, 16, 17, 2, 0]","[1, 22, 31, 2, 0]","[2, 38, 48, 4, 0]",Arusha,Arusha
111,OLORIEN VALLEY,PS0101085,21.0,237.0,B,"[4, 6, 0, 0, 0]","[3, 8, 0, 0, 0]","[7, 14, 0, 0, 0]",Arusha,Arusha
112,OLOSIVA,PS0101087,153.0,171.366,C,"[1, 23, 48, 3, 0]","[1, 29, 47, 0, 1]","[2, 52, 95, 3, 1]",Arusha,Arusha
113,OLTUROTO,PS0101088,87.0,153.2184,C,"[0, 5, 47, 4, 0]","[0, 4, 27, 0, 0]","[0, 9, 74, 4, 0]",Arusha,Arusha
114,OLTURUMET,PS0101089,89.0,131.3146,C,"[0, 1, 34, 12, 0]","[0, 2, 21, 19, 0]","[0, 3, 55, 31, 0]",Arusha,Arusha
115,PELICAN,PS0101155,11.0,211.6364,B,"[1, 5, 1, 0, 0]","[1, 2, 1, 0, 0]","[2, 7, 2, 0, 0]",Arusha,Arusha
116,ROCKLAND,PS0101157,24.0,254.0,A,"[11, 1, 0, 0, 0]","[7, 5, 0, 0, 0]","[18, 6, 0, 0, 0]",Arusha,Arusha
117,SAIDE,PS0101147,6.0,163.0,C,"[0, 2, 2, 0, 0]","[0, 0, 1, 1, 0]","[0, 2, 3, 1, 0]",Arusha,Arusha
118,SAMBASHA,PS0101090,110.0,139.1545,C,"[0, 3, 46, 16, 2]","[0, 7, 27, 7, 2]","[0, 10, 73, 23, 4]",Arusha,Arusha
119,SAMMENA,PS0101160,16.0,210.9375,B,"[2, 3, 0, 0, 0]","[1, 7, 3, 0, 0]","[3, 10, 3, 0, 0]",Arusha,Arusha
120,SAMWA,PS0101138,28.0,244.6786,A,"[5, 7, 0, 0, 0]","[13, 2, 1, 0, 0]","[18, 9, 1, 0, 0]",Arusha,Arusha
121,SASI,PS0101091,47.0,163.617,C,"[0, 5, 17, 1, 0]","[0, 8, 14, 2, 0]","[0, 13, 31, 3, 0]",Arusha,Arusha
122,SEIA EBENEZER,PS0101139,12.0,157.5833,C,"[0, 3, 3, 1, 0]","[0, 0, 5, 0, 0]","[0, 3, 8, 1, 0]",Arusha,Arusha
123,SEKEI,PS0101092,127.0,155.6457,C,"[0, 14, 37, 4, 0]","[0, 10, 53, 9, 0]","[0, 24, 90, 13, 0]",Arusha,Arusha
124,SELIANI,PS0101093,134.0,145.4403,C,"[0, 7, 56, 8, 0]","[0, 11, 39, 13, 0]","[0, 18, 95, 21, 0]",Arusha,Arusha
125,SHINING STAR,PS0101148,20.0,283.4,A,"[12, 0, 0, 0, 0]","[8, 0, 0, 0, 0]","[20, 0, 0, 0, 0]",Arusha,Arusha
126,SITI MWINYI,PS0101095,25.0,164.04,C,"[0, 4, 6, 0, 0]","[0, 3, 11, 1, 0]","[0, 7, 17, 1, 0]",Arusha,Arusha
127,SONGAMBELE,PS0101127,31.0,159.5484,C,"[0, 3, 6, 1, 0]","[0, 4, 15, 2, 0]","[0, 7, 21, 3, 0]",Arusha,Arusha
128,SOTWA WILSON,PS0101112,9.0,254.6667,A,"[5, 0, 0, 0, 0]","[3, 1, 0, 0, 0]","[8, 1, 0, 0, 0]",Arusha,Arusha
129,ST AUGUSTINE,PS0101134,58.0,263.4483,A,"[25, 6, 0, 0, 0]","[25, 2, 0, 0, 0]","[50, 8, 0, 0, 0]",Arusha,Arusha
130,ST MAGRET,PS0101098,69.0,214.3768,B,"[8, 27, 6, 0, 0]","[4, 22, 2, 0, 0]","[12, 49, 8, 0, 0]",Arusha,Arusha
131,ST PAULO,PS0101120,8.0,206.375,B,"[2, 3, 0, 0, 0]","[0, 2, 1, 0, 0]","[2, 5, 1, 0, 0]",Arusha,Arusha
132,ST. PIUS,PS0101142,15.0,223.5333,B,"[3, 5, 1, 0, 0]","[2, 4, 0, 0, 0]","[5, 9, 1, 0, 0]",Arusha,Arusha
133,THEMI YA SIMBA,PS0101101,42.0,150.3095,C,"[0, 4, 16, 3, 0]","[0, 0, 15, 4, 0]","[0, 4, 31, 7, 0]",Arusha,Arusha
134,TIMBOLO,PS0101102,137.0,137.8029,C,"[0, 12, 40, 15, 1]","[0, 9, 28, 32, 0]","[0, 21, 68, 47, 1]",Arusha,Arusha
135,TRUST ST PATRICK,PS0101103,66.0,255.8788,A,"[18, 5, 0, 0, 0]","[33, 10, 0, 0, 0]","[51, 15, 0, 0, 0]",Arusha,Arusha
136,TURKISH MAARIF,PS0101096,31.0,212.3226,B,"[2, 15, 2, 0, 0]","[3, 6, 3, 0, 0]","[5, 21, 5, 0, 0]",Arusha,Arusha
137,UMOJA,PS0101104,47.0,117.1702,D,"[0, 1, 11, 12, 0]","[0, 0, 8, 14, 1]","[0, 1, 19, 26, 1]",Arusha,Arusha
138,WILKABAA,PS0101113,31.0,235.2903,B,"[8, 8, 0, 0, 0]","[4, 11, 0, 0, 0]","[12, 19, 0, 0, 0]",Arusha,Arusha
139,WINNERS,PS0101151,21.0,219.9524,B,"[2, 4, 2, 0, 0]","[3, 10, 0, 0, 0]","[5, 14, 2, 0, 0]",Arusha,Arusha
140,YAKINI,PS0101109,77.0,244.0519,A,"[26, 14, 0, 0, 0]","[18, 17, 2, 0, 0]","[44, 31, 2, 0, 0]",Arusha,Arusha
141,ANGELICO,PS0102047,44.0,251.9773,A,"[19, 5, 0, 0, 0]","[17, 3, 0, 0, 0]","[36, 8, 0, 0, 0]",Arusha,Arusha CC
142,ARUSHA ALLIANCE,PS0102073,133.0,247.2632,A,"[35, 42, 0, 0, 0]","[48, 8, 0, 0, 0]","[83, 50, 0, 0, 0]",Arusha,Arusha CC
143,ARUSHA INTERGRATED,PS0102029,30.0,221.4667,B,"[1, 11, 2, 0, 0]","[10, 4, 2, 0, 0]","[11, 15, 4, 0, 0]",Arusha,Arusha CC
144,ARUSHA MODERN,PS0102028,18.0,218.4444,B,"[2, 5, 0, 0, 0]","[3, 6, 2, 0, 0]","[5, 11, 2, 0, 0]",Arusha,Arusha CC
145,ARUSHA,PS0102001,171.0,230.4854,B,"[21, 59, 3, 0, 0]","[40, 47, 1, 0, 0]","[61, 106, 4, 0, 0]",Arusha,Arusha CC
146,ASSUMPTION,PS0102045,38.0,244.1842,A,"[14, 7, 0, 0, 0]","[6, 11, 0, 0, 0]","[20, 18, 0, 0, 0]",Arusha,Arusha CC
147,AZIMIO,PS0102066,94.0,177.5638,C,"[1, 17, 26, 2, 0]","[1, 22, 23, 2, 0]","[2, 39, 49, 4, 0]",Arusha,Arusha CC
148,BARAA,PS0102002,209.0,191.0335,B,"[5, 71, 34, 0, 0]","[3, 58, 37, 1, 0]","[8, 129, 71, 1, 0]",Arusha,Arusha CC
149,BARBRA,PS0102113,26.0,259.7308,A,"[12, 0, 0, 0, 0]","[13, 1, 0, 0, 0]","[25, 1, 0, 0, 0]",Arusha,Arusha CC
150,BIBLE BAPTIST,PS0102102,15.0,242.0,A,"[5, 5, 0, 0, 0]","[3, 2, 0, 0, 0]","[8, 7, 0, 0, 0]",Arusha,Arusha CC
151,BRIGHT FUTURE,PS0102114,73.0,255.274,A,"[27, 7, 0, 0, 0]","[30, 8, 1, 0, 0]","[57, 15, 1, 0, 0]",Arusha,Arusha CC
152,BURKA ESTATE,PS0102074,226.0,173.7832,C,"[3, 42, 70, 6, 0]","[2, 41, 56, 6, 0]","[5, 83, 126, 12, 0]",Arusha,Arusha CC
153,BURKA,PS0102003,178.0,190.4775,B,"[5, 52, 33, 1, 0]","[2, 46, 39, 0, 0]","[7, 98, 72, 1, 0]",Arusha,Arusha CC
154,CAMP JOSHUA,PS0102097,14.0,212.5,B,"[0, 7, 0, 0, 0]","[2, 4, 1, 0, 0]","[2, 11, 1, 0, 0]",Arusha,Arusha CC
155,CANOSSA,PS0102140,53.0,254.5283,A,"[14, 13, 0, 0, 0]","[23, 3, 0, 0, 0]","[37, 16, 0, 0, 0]",Arusha,Arusha CC
156,CARMEL,PS0102126,42.0,277.2619,A,"[16, 0, 0, 0, 0]","[26, 0, 0, 0, 0]","[42, 0, 0, 0, 0]",Arusha,Arusha CC
157,CHETI,PS0102115,55.0,226.5818,B,"[9, 20, 4, 0, 0]","[8, 13, 1, 0, 0]","[17, 33, 5, 0, 0]",Arusha,Arusha CC
158,CLASSIC,PS0102141,26.0,259.7308,A,"[11, 2, 0, 0, 0]","[13, 0, 0, 0, 0]","[24, 2, 0, 0, 0]",Arusha,Arusha CC
159,DARAJA- II,PS0102022,199.0,177.2111,C,"[1, 49, 39, 7, 0]","[4, 46, 49, 4, 0]","[5, 95, 88, 11, 0]",Arusha,Arusha CC
160,DOMINION,PS0102116,58.0,258.1207,A,"[24, 3, 1, 0, 0]","[24, 6, 0, 0, 0]","[48, 9, 1, 0, 0]",Arusha,Arusha CC
161,ELERAI,PS0102048,239.0,172.4477,C,"[6, 37, 79, 3, 0]","[1, 42, 66, 5, 0]","[7, 79, 145, 8, 0]",Arusha,Arusha CC
