school_id,school_name,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300,WARD,SCHOOL OWNERSHIP,SCHOOL REG. NUMBER,LATITUDE,LONGITUDE,TOTAL BOYS,TOTAL GIRLS,PTR,PQTR,TOTAL STUDENTS,RATIO GIRLS-BOYS,PBR_average,CG,CG_per_student,approx_ages_SD,approx_ages_mean,ages_median
PS0101029,KISONGO,87,161.4713,C,Arusha,Arusha,49,38,1.2894736842105263,0.9195402298850576,32.200324220493115,Kisongo,Government,EM.735,-3.369725,36.547065,338,357,58,58,695,1.0562130177514792,3.3812563620379805,,,2.4279423367280955,10.076258992805757,10.0
PS0101110,LASTING BLESS,14,221.0714,B,Arusha,Arusha,7,7,1.0,1.0,22.630665092988767,Kiranyi,Non-Government,EM.18159,-3.3625734,36.6674539,40,56,11,11,96,1.4,1.005813953488372,,,2.4523231615936933,9.083333333333334,9.0
PS0101118,LIKAMBA INTEGRITY,33,202.5758,B,Arusha,Arusha,18,15,1.2,1.0,39.350894314859566,Musa,Non-Government,EM.14568,-3.3374677,36.5597534,71,111,15,17,182,1.5633802816901408,5.176885130373503,,,2.6615931338020444,10.60989010989011,11.0
PS0101159,MAADILI,4,243.25,A,Arusha,Arusha,3,1,3.0,1.0,25.872508938060104,Mateves,Non-Government,EM.17548,-3.3833644,36.5864353,63,66,16,16,129,1.0476190476190477,2.828839055001846,,,2.1919761242694284,8.44186046511628,8.0
PS0101126,MAASAI JOY,20,270.05,A,Arusha,Arusha,7,13,0.5384615384615384,1.0,0.0,Olturumet,Non-Government,EM.14967,-3.2686734,36.6327869,104,89,19,19,193,0.8557692307692307,4.776605758582503,,,2.291596854902685,9.735751295336788,10.0
PS0101106,MARGRETH ENGLANDS BURKS,18,220.8889,B,Arusha,Arusha,9,9,1.0,1.0,22.267510275935404,Olturumet,Non-Government,EM.14968,-3.3022721,36.6375616,82,90,17,17,172,1.0975609756097562,1.0034932686702778,,,2.3049081123041533,9.674418604651162,10.0
PS0101150,MIALE,33,202.4242,B,Arusha,Arusha,15,18,0.8333333333333334,1.0,24.507864969489244,Ilboru,Non-Government,EM.17425,-3.3500632,36.3739811,124,105,18,46,229,0.8467741935483871,2.616642113016942,,,2.064518724112904,9.34934497816594,9.0
PS0101107,NEW LIFE,74,218.4189,B,Arusha,Arusha,43,31,1.3870967741935485,0.9864864864864864,36.75815527943581,Oloirien,Non-Government,EM.13031,-3.3436141,36.6469212,257,289,23,23,546,1.1245136186770428,1.7653525404229191,,,2.204851332818369,8.307692307692308,8.0
PS0101115,NEW VISION,32,267.6875,A,Arusha,Arusha,16,16,1.0,1.0,21.694758275239984,Olturumet,Non-Government,EM.13507,-3.3408047,36.6264302,148,139,15,15,287,0.9391891891891893,0.9236512250008952,,,2.102821375614472,9.195121951219512,9.0
PS0101068,NURU,14,229.6429,B,Arusha,Arusha,9,5,1.8,1.0,28.62965606905981,Ilboru,Non-Government,EM.13884,-3.3500612,36.3739801,92,92,20,20,184,1.0,4.4467290461476505,,,2.153154969632102,9.146739130434783,9.0
PS0101085,OLORIEN VALLEY,21,237.0,B,Arusha,Arusha,10,11,0.9090909090909092,1.0,28.166420117264146,Oloirien,Non-Government,EM.11083,-3.3222531,36.6331767,60,61,13,13,121,1.0166666666666666,1.12711771409277,,,2.013274707912081,9.71900826446281,10.0
PS0101155,PELICAN,11,211.6364,B,Arusha,Arusha,7,4,1.75,1.0,36.10603358383505,Kisongo,Non-Government,EM.17427,-3.389213,36.543736,54,59,14,14,113,1.0925925925925926,1.4141928749884685,,,1.9314754828678031,7.743362831858407,7.0
PS0101157,ROCKLAND,24,254.0,A,Arusha,Arusha,12,12,1.0,1.0,25.872508938060104,Olmotonyi,Non-Government,EM.17496,-3.3125455,36.64241,91,102,14,18,193,1.120879120879121,1.6279931093884583,,,2.467518323149501,9.33678756476684,9.0
PS0101147,SAIDE,6,163.0,C,Arusha,Arusha,4,2,2.0,0.8333333333333334,41.23105625617661,Olmotonyi,Non-Government,EM.15919,-3.3662546,33.6234615,37,32,8,14,69,0.8648648648648649,4.744186046511628,,,2.2365845476939623,9.46376811594203,10.0
PS0101160,SAMMENA,16,210.9375,B,Arusha,Arusha,5,11,0.4545454545454545,1.0,36.665849526287744,Nduruma,Non-Government,EM.17569,-3.7458033,36.7657087,95,86,20,20,181,0.9052631578947368,12.406976744186046,,,2.0365093539904127,9.30939226519337,9.0
PS0101138,SAMWA,28,244.6786,A,Arusha,Arusha,12,16,0.75,1.0,33.290451264711976,Laroi,Non-Government,EM.16672,-3.4029702,36.6994841,146,141,32,32,287,0.9657534246575342,2.0665617875056994,,,2.227977119048042,9.829268292682928,10.0
PS0101139,SEIA EBENEZER,12,157.5833,C,Arusha,Arusha,7,5,1.4,0.9166666666666666,33.166247903554,Kisongo,Non-Government,EM.16673,-3.36634156,36.7657873,41,35,10,10,76,0.8536585365853658,1.0,,,2.528610525789951,10.38157894736842,10.0
PS0101148,SHINING STAR,20,283.4,A,Arusha,Arusha,12,8,1.5,1.0,0.0,Moivo,Non-Government,EM.17380,-3.3605,36.6971,138,146,19,19,284,1.0579710144927537,8.047480620155039,,,2.127212315606396,8.31338028169014,8.0
PS0101112,SOTWA WILSON,9,254.6667,A,Arusha,Arusha,5,4,1.25,1.0,18.777613411509428,Moivo,Non-Government,EM.13885,-3.38768,36.7388631,40,26,8,8,66,0.65,8.378682170542636,,,2.061330086704809,9.530303030303031,9.5
PS0101134,ST AUGUSTINE,58,263.4483,A,Arusha,Arusha,31,27,1.148148148148148,1.0,20.60344827586207,Kiranyi,Non-Government,EM.15194,-3.7417673,36.4787644,246,269,18,25,515,1.0934959349593496,1.0,,,2.254267744816905,9.650485436893204,10.0
PS0101098,ST MAGRET,69,214.3768,B,Arusha,Arusha,41,28,1.4642857142857142,1.0,32.03863304764167,Kisongo,Non-Government,EM.11561,-3.3717041,36.5805175,310,303,38,38,613,0.9774193548387096,1.174074917435141,,,2.237198909148346,9.794453507340949,10.0
PS0101120,ST PAULO,8,206.375,B,Arusha,Arusha,5,3,1.6666666666666667,1.0,35.877558706662306,Kiutu,Non-Government,EM.14569,-3.179993,36.649904,55,49,12,13,104,0.8909090909090909,2.862209302325581,,,2.195320972340408,9.413461538461538,9.0
